%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1749245721569219161,1163,1749245721475524800,map,-0.012721885301584726,0.06329371606352813,0.49163849576363894,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245721619081566,1164,1749245721508951800,map,-0.012720737412920175,0.06329431956055648,0.4916312469743225,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245721677317223,1165,1749245721575710800,map,-0.012719698881119628,0.06329486345294005,0.4916247198081496,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245721731393911,1166,1749245721642954800,map,-0.01271876078162572,0.06329535519125945,0.49161879446006373,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245721869927995,1167,1749245721675410800,map,-0.012717909721395153,0.06329580222609527,0.4916134404202397,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245721904560540,1168,1749245721809000800,map,-0.012717142727644548,0.0632962045574475,0.4916085680210722,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245721945766866,1169,1749245721842294800,map,-0.012716444917835289,0.06329657708647735,0.4916041765178135,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245721979282008,1170,1749245721909954800,map,-0.012715811829688695,0.06329690491202361,0.4916002060079352,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722015280246,1171,1749245721942311800,map,-0.012715242721560752,0.06329720293524749,0.49159659677509604,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722145996439,1172,1749245721975513800,map,-0.012714726431547476,0.06329747860672957,0.4915933482607351,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722199656425,1173,1749245722108939800,map,-0.012714258497370194,0.06329772447588927,0.4915904005623243,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722246532515,1174,1749245722142300800,map,-0.012713832967254904,0.06329794799330718,0.4915877235424123,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722289653098,1175,1749245722208977800,map,-0.012713449841201612,0.0632981491589833,0.4915853172009992,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722321814515,1176,1749245722242299800,map,-0.012713104656931642,0.06329832797291762,0.49158312163555673,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722462613889,1177,1749245722275473800,map,-0.012712789973175672,0.06329849188569076,0.49158113647371104,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722497439872,1178,1749245722408957800,map,-0.012712507279429028,0.0632986408973027,0.49157933195038495,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722561633428,1179,1749245722475561800,map,-0.012712249134422387,0.06329878245833404,0.4915777076932045,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722616525041,1180,1749245722508867800,map,-0.012712017027651077,0.06329890166762359,0.4915762339370925,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722665063354,1181,1749245722575593800,map,-0.012711803517845776,0.06329901342633254,0.49157491030967515,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722784155138,1182,1749245722608896800,map,-0.01271161381513646,0.0632991102838803,0.49157370723206206,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722832293013,1183,1749245722742348800,map,-0.012711440478253814,0.06329920714142806,0.4915726243318794,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722885724238,1184,1749245722775724800,map,-0.012711284996693157,0.06329928909781463,0.49157163184405006,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722940406673,1185,1749245722842390800,map,-0.012711142160324517,0.0632993636036206,0.4915707593474643,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245722993687577,1186,1749245722908859800,map,-0.012711014948138527,0.06329943065884597,0.49156994731196746,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245723172133715,1187,1749245722942330800,map,-0.012710899639500532,0.06329949026349074,0.4915691955513729,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245723213765512,1188,1749245723109016800,map,-0.012710794744915209,0.06329954241755492,0.4915685338307576,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245723260666175,1189,1749245723176542800,map,-0.012710698033243215,0.0632995945716191,0.49156793219885764,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245723319412974,1190,1749245723208923800,map,-0.012710613225119226,0.06329963927510268,0.49156739084185985,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245723370390463,1191,1749245723275748800,map,-0.012710532879273909,0.06329968397858626,0.49156690938739034,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245723545734719,1192,1749245723342375800,map,-0.012710465926471905,0.06329971378090865,0.4915664584427457,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245723579667782,1193,1749245723509145800,map,-0.012710399715313925,0.06329975103381164,0.4915660672144424,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
